Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1563,1173,1741,2382,1463,1691,3068,3755,3326,3238,4134,5005
Cash from Investing Activity,-1265,-950,-4533,-1304,-834,-1688,114,-2374,-1858,-2376,-2982,-3691
Cash from Financing Activity,-266,165,3104,-1326,-385,-349,-2949,-1240,-1600,-958,-1200,-1293
Net Cash Flow,33,388,312,-248,243,-345,234,141,-132,-97,-49,21
