Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,603,903,994,1894,1312,919,1282,2932,3294,2104,2689,3228
Cash from Investing Activity,-682,-438,-465,-860,-2872,-974,-3977,-1004,-837,-1018,1542,-1492
Cash from Financing Activity,286,-529,-351,-935,2316,52,1885,-1528,-2548,-868,-4400,-1810
Net Cash Flow,207,-64,178,99,756,-3,-811,399,-90,219,-170,-75
