Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1970,2524,3263,2144,1803,2870,2984,3570,2811,5888,4543,4643
Cash from Investing Activity,-1604,-2370,-1610,-1890,-1483,-769,-495,-2255,-2565,-4109,-4034,-5102
Cash from Financing Activity,-24,-433,-1700,-369,-444,-2133,-2516,-30,-242,-2686,-376,1186
Net Cash Flow,342,-280,-47,-114,-124,-31,-27,1286,3,-907,133,726
