Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,1251,2004,2733,-382,4114,1751,1666,1469,1822,367,1897,3648
Cash from Investing Activity,-522,-851,-1034,-6769,-2527,470,-3282,1107,-1240,1292,-1287,-1712
Cash from Financing Activity,-663,-857,-197,5836,433,-1492,744,-891,-1885,-1572,-337,-2184
Net Cash Flow,66,296,1502,-1315,2019,729,-872,1685,-1303,87,273,-248
