index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,3238,-4700,1631,169
Mar 2015,5824,-4737,-1144,-58
Mar 2016,5257,-2692,-2713,-148
Mar 2017,4725,-1212,-3539,-26
Mar 2018,5101,-520,-4600,-19
Mar 2019,5610,-984,-4663,-37
Mar 2020,5598,-2304,-2377,917
Mar 2021,7014,-2188,-5655,-828
Mar 2022,10233,774,-10338,669
Mar 2023,8431,1545,-10408,-433
Mar 2024,14170,3481,-16864,787
Mar 2025,21501,-17142,-5175,-816
