index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2017,28,-1511,1559,76
Mar 2018,649,-4428,3942,162
Mar 2019,1625,-2666,1045,3
Mar 2020,1965,-3743,2161,383
Mar 2021,1601,-9137,7083,-453
Mar 2022,3127,-18730,15986,383
Mar 2023,7265,-3857,-2973,435
Mar 2024,7713,-21060,13953,606
Mar 2025,8364,-19827,12068,605
