Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,8010,14244,6344,9346,2575,-11120,18237,-5289,59118,919,-39978,15046
Cash from Investing Activity,-435,-380,-1104,-443,-476,-487,-745,-445,-1116,-1429,-1156,-1750
Cash from Financing Activity,-1043,-3771,-1464,-806,124,2865,-1185,7792,290,4035,445,-3834
Net Cash Flow,6532,10092,3776,8096,2224,-8743,16307,2059,58291,3525,-40689,9462
