Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,2573,14464,-15162,-34495,32209,-38390,37125,30416,12633,28137,22075,-5555
Cash from Investing Activity,-10939,-14166,-7972,9211,-12458,-10007,-18674,-9485,-54288,-27112,-32351,-9001
Cash from Financing Activity,14931,7785,31045,22495,-2487,41342,5643,8865,7279,47894,6641,22341
Net Cash Flow,6566,8082,7910,-2789,17263,-7055,24094,29795,-34375,48919,-3636,7785
