Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,17494,6765,-12273,23645,52636,19383,48671,79565,138015,58111,-3771,157284
Cash from Investing Activity,-18563,-15750,-13175,-12060,-1711,-50551,-30282,-42095,-63631,-39448,-67689,-144737
Cash from Financing Activity,9283,7872,24827,5814,-35470,39676,-19997,2992,-54667,17451,24791,13765
Net Cash Flow,8215,-1113,-621,17399,15455,8508,-1608,40462,19718,36114,-46669,26312
