Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,-5847,4211,-21281,-34435,17282,17214,-62872,-16869,42476,-11960,20814,19069
Cash from Investing Activity,-902,-1099,-800,-837,-1146,-842,-1503,-1403,-1823,-2051,-2992,16600
Cash from Financing Activity,13105,9270,18694,37815,-5893,57378,23131,24394,-7321,48124,23941,-3983
Net Cash Flow,6356,12382,-3387,2542,10242,73750,-41244,6122,33332,34113,41762,31687
