Financial Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,23196,42233,17838,-10011,17865,-59692,-1449,18531,-887,6210,-21354,-6274
Cash from Investing Activity,-514,-730,-556,-4005,-551,-414,-2537,-139,-471,-3645,-1096,-1285
Cash from Financing Activity,-790,5151,-6,-616,-198,3413,4449,14729,-986,-998,-5405,5476
Net Cash Flow,21892,46654,17276,-14632,17116,-56692,462,33120,-2344,1567,-27855,-2084
