Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,3455,4190,4526,5005,3888,5956,8972,12500,9283,9069,10898,10673
Cash from Investing Activity,-2342,-2144,-3673,-2501,1866,1165,-4192,-8856,2257,-7188,-8789,-16504
Cash from Financing Activity,-949,-2110,-844,-2535,-5735,-6757,-5076,-4356,-12498,-1631,-1926,5076
Net Cash Flow,164,-63,8,-31,18,364,-295,-712,-958,250,183,-755
