Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,1063,1352,1457,1390,1554,1118,2255,2219,2835,-1235,2995,1711
Cash from Investing Activity,-862,-1457,-904,-533,-379,-364,-321,-535,-988,-4637,-1205,-1277
Cash from Financing Activity,-834,-837,-716,-430,-426,-380,-374,-327,-331,-1238,-443,-1002
Net Cash Flow,-633,-942,-164,426,750,374,1559,1357,1517,-7110,1347,-568
